sentence1,sentence2,score
Suka bekerja di bidang pendidikan,Suka bekerja di bidang penelitian,0.0
Senang bekerja sebagai penata rias,Senang bekerja sebagai desainer kostum,0.0
Pernah bekerja di perusahaan internasional,Pernah bekerja di perusahaan lokal,0.0
Sering bekerja di proyek sosial,Sering bekerja di proyek bisnis,0.0
Jarang bekerja sebagai staf administrasi,Jarang bekerja sebagai staf operasional,0.0
Suka bekerja sebagai koordinator logistik,Suka bekerja sebagai manajer logistik,0.0
Senang bekerja sebagai ahli psikologi,Senang bekerja sebagai konselor sekolah,0.0
Pernah bekerja sebagai ahli teknik sipil,Pernah bekerja sebagai ahli teknik mesin,0.0
Sering bekerja di bidang teknik informatika,Sering bekerja di bidang teknik elektro,0.0
Jarang bekerja di industri manufaktur,Jarang bekerja di industri teknologi,0.0
Suka bekerja sebagai pengembang perangkat lunak,Suka bekerja sebagai pengembang aplikasi mobile,0.0
Senang bekerja sebagai ahli genetika,Senang bekerja sebagai ahli bioteknologi,0.0
Pernah bekerja sebagai juru masak di restoran,Pernah bekerja sebagai bartender di restoran,0.0
Sering bekerja sebagai desainer produk,Sering bekerja sebagai desainer grafis,0.0
Sering bekerja sebagai customer service di perusahaan telekomunikasi,Sering bekerja sebagai customer service di bank,0.0
Jarang bekerja di bidang konstruksi,Jarang bekerja di bidang teknologi informasi,0.0
Suka menjadi manajer pemasaran produk,Suka menjadi manajer pemasaran digital,0.0
Senang bekerja sebagai dokter gigi di klinik,Senang bekerja sebagai dokter umum di rumah sakit,0.0
Pernah bekerja sebagai editor di majalah,Pernah bekerja sebagai editor di surat kabar,0.0
Sering bekerja sebagai pelatih sepak bola anak-anak,Sering bekerja sebagai pelatih basket anak-anak,0.0
Jarang bekerja di bidang medis,Jarang bekerja di bidang kesehatan mental,0.0
Suka bekerja sebagai pengajar bahasa Inggris,Suka bekerja sebagai pengajar bahasa Jepang,0.0
Senang bekerja di bidang pengembangan sumber daya manusia,Senang bekerja di bidang pengembangan teknologi informasi,0.0
Pernah bekerja sebagai arsitek untuk bangunan komersial,Pernah bekerja sebagai arsitek untuk rumah tinggal,0.0
Sering bekerja sebagai driver transportasi online,Sering bekerja sebagai kurir transportasi online,0.0
Jarang bekerja di sektor pariwisata,Jarang bekerja di sektor kesehatan,0.0
Suka bekerja sebagai penulis konten digital,Suka bekerja sebagai penulis konten cetak,0.0
Senang bekerja sebagai ahli perawatan kulit,Senang bekerja sebagai ahli kecantikan,0.0
Pernah bekerja sebagai penyiar radio,Pernah bekerja sebagai presenter televisi,0.0
Sering bekerja di sektor pendidikan tinggi,Sering bekerja di sektor pendidikan dasar,0.0
Jarang bekerja di industri seni,Jarang bekerja di industri hiburan,0.0
Suka bekerja sebagai desainer web,Suka bekerja sebagai desainer grafis,0.0
Senang bekerja sebagai teknisi perbaikan mobil,Senang bekerja sebagai teknisi perbaikan elektronik,0.0
Pernah bekerja sebagai manajer pengembangan produk,Pernah bekerja sebagai manajer pengembangan pasar,0.0
Sering bekerja sebagai pelatih yoga,Sering bekerja sebagai pelatih pilates,0.0
Jarang bekerja di bidang seni pertunjukan,Jarang bekerja di bidang seni rupa,0.0
Suka bekerja sebagai ahli IT di perusahaan besar,Suka bekerja sebagai ahli IT di perusahaan kecil,0.0
Senang bekerja sebagai desainer interior,Senang bekerja sebagai desainer eksterior,0.0
Pernah bekerja sebagai juru bicara perusahaan,Pernah bekerja sebagai juru bicara pemerintah,0.0
Sering bekerja sebagai manajer proyek konstruksi,Sering bekerja sebagai manajer proyek teknologi,0.0
Jarang bekerja di bidang periklanan,Jarang bekerja di bidang riset pasar,0.0
Suka bekerja sebagai ahli bahasa,Suka bekerja sebagai penerjemah bahasa,0.0
Senang bekerja sebagai penata rambut di salon,Senang bekerja sebagai penata rias di salon,0.0
Pernah bekerja sebagai penyelam profesional,Pernah bekerja sebagai instruktur selam,0.0
Sering bekerja di kantor pemerintahan,Sering bekerja di perusahaan swasta,0.0
Jarang bekerja di bidang keuangan,Jarang bekerja di bidang asuransi,0.0
Suka bekerja sebagai ahli gizi di rumah sakit,Suka bekerja sebagai ahli gizi di puskesmas,0.0
Senang bekerja sebagai perencana keuangan,Senang bekerja sebagai penasihat investasi,0.0
Pernah bekerja sebagai pelatih tenis meja,Pernah bekerja sebagai pelatih bulu tangkis,0.0
Sering bekerja sebagai fotografer pernikahan,Sering bekerja sebagai fotografer acara perusahaan,0.0
Jarang bekerja di bidang pertanian,Jarang bekerja di bidang peternakan,0.0
Suka bekerja sebagai penerjemah simultan,Suka bekerja sebagai penerjemah teks,0.0
Senang bekerja sebagai ahli teknik kelautan,Senang bekerja sebagai ahli teknik sipil,0.0
Pernah bekerja sebagai manajer SDM,Pernah bekerja sebagai HRD,0.0
Sering bekerja sebagai desainer grafis freelance,Sering bekerja sebagai fotografer freelance,0.0
Jarang bekerja di bidang manufaktur,Jarang bekerja di bidang distribusi,0.0
Suka bekerja sebagai pengembang perangkat lunak,Suka bekerja sebagai pengembang aplikasi mobile,0.0
Senang bekerja sebagai analis pasar di perusahaan besar,Senang bekerja sebagai analis pasar di perusahaan kecil,0.0
Pernah bekerja sebagai editor film,Pernah bekerja sebagai editor video,0.0
Sering bekerja sebagai ahli software engineering,Sering bekerja sebagai ahli data science,0.0
Jarang bekerja sebagai ahli bahasa,Jarang bekerja sebagai ahli budaya,0.0
Suka bekerja sebagai fotografer profesional,Suka bekerja sebagai videografer profesional,0.0
Senang bekerja sebagai ahli matematika,Senang bekerja sebagai ahli statistik,0.0
Pernah bekerja sebagai petugas kebersihan di hotel,Pernah bekerja sebagai petugas kebersihan di rumah sakit,0.0
Sering bekerja sebagai ahli pemasaran digital,Sering bekerja sebagai ahli SEO,0.0
Jarang bekerja di bidang riset ilmiah,Jarang bekerja di bidang penelitian pasar,0.0
Suka bekerja sebagai influencer media sosial,Suka bekerja sebagai content creator,0.0
Senang bekerja sebagai spesialis jaringan komputer,Senang bekerja sebagai spesialis keamanan siber,0.0
Pernah bekerja sebagai teknisi telekomunikasi,Pernah bekerja sebagai teknisi komputer,0.0
Sering bekerja sebagai pengembang game,Sering bekerja sebagai pengembang aplikasi,0.0
Jarang bekerja di bidang entertainment,Jarang bekerja di bidang seni visual,0.0
Suka bekerja sebagai penulis buku,Suka bekerja sebagai editor buku,0.0
Senang bekerja sebagai konsultan pendidikan,Senang bekerja sebagai konsultan organisasi,0.0
Pernah bekerja sebagai manajer pengembangan SDM,Pernah bekerja sebagai manajer pengembangan produk,0.0
Sering bekerja sebagai pengemudi truk pengiriman,Sering bekerja sebagai pengemudi angkutan umum,0.0
Jarang bekerja sebagai sales produk kecantikan,Jarang bekerja sebagai sales produk teknologi,0.0
Suka bekerja sebagai guru privat,Suka bekerja sebagai pengajar di lembaga pendidikan,0.0
Senang bekerja sebagai penata arsitektur interior,Senang bekerja sebagai penata arsitektur lanskap,0.0
Pernah bekerja sebagai desainer pakaian,Pernah bekerja sebagai desainer sepatu,0.0
Sering bekerja sebagai manajer restoran,Sering bekerja sebagai kepala koki restoran,0.0
Jarang bekerja di sektor pertambangan,Jarang bekerja di sektor energi,0.0
Suka bekerja sebagai penata rias,Suka bekerja sebagai pengarah gaya,0.0
Senang bekerja sebagai ahli biologi,Senang bekerja sebagai ahli kimia,0.0
Pernah bekerja sebagai kurator museum,Pernah bekerja sebagai penjaga galeri seni,0.0
Sering menjalankan bisnis jualan online,Sering menjalankan bisnis di bidang jasa kecantikan,0.0
Jarang memiliki bisnis di bidang fashion,Jarang memiliki bisnis di bidang teknologi,0.0
Suka memiliki usaha restoran cepat saji,Suka memiliki usaha katering makanan sehat,0.0
Senang menjalankan bisnis grosir pakaian,Senang menjalankan bisnis grosir alat tulis,0.0
Pernah memiliki usaha percetakan di rumah,Pernah memiliki usaha toko bahan bangunan,0.0
Sering membuka usaha di bidang digital marketing,Sering membuka usaha di bidang desain grafis,0.0
Jarang menjalankan bisnis properti,Jarang menjalankan bisnis retail,0.0
Suka membuka usaha online shop pakaian,Suka membuka usaha online shop aksesoris,0.0
Senang memiliki bisnis jasa pengiriman barang,Senang memiliki bisnis jasa pembersihan rumah,0.0
Pernah membuka usaha toko kelontong,Pernah membuka usaha toko bahan makanan organik,0.0
Sering menjalankan bisnis di bidang kebugaran,Sering menjalankan bisnis di bidang kecantikan,0.0
Jarang memiliki bisnis di bidang teknologi informasi,Jarang memiliki bisnis di bidang industri makanan,0.0
Suka membuka usaha online shop buku,Suka membuka usaha online shop elektronik,0.0
Senang menjalankan bisnis travel agent,Senang menjalankan bisnis event organizer,0.0
Pernah memiliki bisnis jasa kursus bahasa Inggris,Pernah memiliki bisnis jasa kursus bahasa Jepang,0.0
Sering membuka usaha jasa reparasi elektronik,Sering membuka usaha jasa reparasi ponsel,0.0
Jarang memiliki usaha di bidang pertanian organik,Jarang memiliki usaha di bidang pertanian konvensional,0.0
Suka menjalankan bisnis kafe kekinian,Suka menjalankan bisnis restoran cepat saji,0.0
Senang membuka usaha jasa perawatan rambut,Senang membuka usaha jasa perawatan wajah,0.0
Pernah menjalankan bisnis jual beli mobil bekas,Pernah menjalankan bisnis jual beli motor bekas,0.0
Sering menjalankan bisnis di bidang perhotelan,Sering menjalankan bisnis di bidang restoran,0.0
Jarang memiliki usaha di bidang edukasi online,Jarang memiliki usaha di bidang pelatihan offline,0.0
Suka menjalankan bisnis produksi makanan ringan,Suka menjalankan bisnis produksi minuman sehat,0.0
Senang membuka usaha kafe dengan tema vintage,Senang membuka usaha restoran dengan tema modern,0.0
Pernah menjalankan bisnis perhiasan custom,Pernah menjalankan bisnis aksesoris fashion,0.0
Sering membuka usaha clothing brand lokal,Sering membuka usaha distro lokal,0.0
Jarang memiliki bisnis di bidang kesehatan,Jarang memiliki bisnis di bidang olahraga,0.0
Suka menjalankan usaha di bidang pembuatan souvenir,Suka menjalankan usaha di bidang percetakan,0.0
Senang memiliki bisnis di bidang teknologi dan gadget,Senang memiliki bisnis di bidang otomotif dan aksesori mobil,0.0
Pernah memiliki usaha di bidang layanan konsultasi,Pernah memiliki usaha di bidang layanan pendidikan,0.0
Sering membuka usaha penginapan di pinggir pantai,Sering membuka usaha penginapan di pusat kota,0.0
Jarang menjalankan bisnis di bidang game online,Jarang menjalankan bisnis di bidang game konsol,0.0
Suka membuka bisnis produk fashion muslim,Suka membuka bisnis produk fashion casual,0.0
Senang memiliki bisnis di bidang pengelolaan acara,Senang memiliki bisnis di bidang penyediaan catering,0.0
Pernah membuka usaha penjualan alat kesehatan,Pernah membuka usaha penjualan alat olah raga,0.0
Sering menjalankan bisnis online dengan produk kerajinan tangan,Sering menjalankan bisnis online dengan produk makanan,0.0
Jarang memiliki bisnis di bidang konstruksi,Jarang memiliki bisnis di bidang pengadaan barang,0.0
Suka menjalankan bisnis jasa pemotretan pernikahan,Suka menjalankan bisnis jasa pemotretan acara perusahaan,0.0
Senang memiliki bisnis yang bergerak di bidang properti,Senang memiliki bisnis yang bergerak di bidang usaha logistik,0.0
Pernah menjalankan bisnis di bidang penyewaan alat pesta,Pernah menjalankan bisnis di bidang penyewaan mobil,0.0
Sering membuka usaha di bidang pembuatan kue,Sering membuka usaha di bidang pembuatan roti,0.0
Jarang memiliki bisnis di bidang peternakan,Jarang memiliki bisnis di bidang perikanan,0.0
Suka menjalankan bisnis online shop produk kecantikan,Suka menjalankan bisnis online shop produk kesehatan,0.0
Senang memiliki usaha di bidang pengelolaan website,Senang memiliki usaha di bidang aplikasi mobile,0.0
Pernah menjalankan bisnis di bidang barang antik,Pernah menjalankan bisnis di bidang barang koleksi,0.0
Sering membuka usaha di bidang percetakan digital,Sering membuka usaha di bidang percetakan offset,0.0
Jarang menjalankan bisnis di bidang perangkat keras,Jarang menjalankan bisnis di bidang perangkat lunak,0.0
Suka menjalankan usaha rental mobil untuk wisata,Suka menjalankan usaha rental sepeda motor untuk wisata,0.0
Senang memiliki usaha di bidang pembuatan pakaian bayi,Senang memiliki usaha di bidang pembuatan pakaian anak-anak,0.0
Pernah menjalankan bisnis online shop produk seni,Pernah menjalankan bisnis online shop produk rumah tangga,0.0
Sering memiliki bisnis di bidang pendidikan online,Sering memiliki bisnis di bidang pendidikan offline,0.0
Jarang membuka bisnis di bidang produksi bahan kimia,Jarang membuka bisnis di bidang produksi bahan makanan,0.0
Suka menjalankan bisnis penjualan tanaman hias,Suka menjalankan bisnis penjualan bunga segar,0.0
Senang memiliki usaha di bidang travel agent lokal,Senang memiliki usaha di bidang travel agent internasional,0.0
Pernah menjalankan usaha produksi perabot rumah,Pernah menjalankan usaha produksi peralatan dapur,0.0
Sering membuka usaha di bidang kebun binatang,Sering membuka usaha di bidang taman safari,0.0
Jarang memiliki bisnis di bidang pengolahan makanan,Jarang memiliki bisnis di bidang pembuatan roti,0.0
Suka memiliki usaha di bidang makanan cepat saji,Suka memiliki usaha di bidang minuman segar,0.0
Senang menjalankan bisnis souvenir pernikahan,Senang menjalankan bisnis souvenir seminar,0.0
Pernah membuka bisnis makanan khas daerah,Pernah membuka bisnis minuman khas daerah,0.0
Sering memiliki usaha di bidang teknologi canggih,Sering memiliki usaha di bidang perangkat keras komputer,0.0
Jarang membuka usaha di bidang perawatan kendaraan,Jarang membuka usaha di bidang layanan kecantikan,0.0
Suka menjalankan bisnis jasa pemasangan iklan,Suka menjalankan bisnis jasa pengelolaan media sosial,0.0
Senang memiliki usaha di bidang fashion vintage,Senang memiliki usaha di bidang fashion modern,0.0
Pernah membuka bisnis jualan barang unik,Pernah membuka bisnis jualan alat rumah tangga,0.0
Sering membuka usaha penyewaan peralatan olahraga,Sering membuka usaha penyewaan perlengkapan camping,0.0
Jarang memiliki bisnis di bidang pengolahan air,Jarang memiliki bisnis di bidang pengolahan makanan,0.0
Suka menjalankan bisnis di bidang pengemasan makanan,Suka menjalankan bisnis di bidang pengemasan produk elektronik,0.0
Senang memiliki usaha di bidang produk herbal,Senang memiliki usaha di bidang produk kosmetik,0.0
Pernah menjalankan bisnis jasa perawatan kendaraan,Pernah menjalankan bisnis jasa pembersihan rumah,0.0
Sering menjalankan bisnis digital marketing,Sering menjalankan bisnis pemasaran konvensional,0.0
Jarang membuka usaha di bidang pembuatan sepatu,Jarang membuka usaha di bidang pembuatan tas,0.0
Suka menjalankan bisnis pakaian anak-anak,Suka menjalankan bisnis pakaian dewasa,0.0
Senang memiliki bisnis pembuatan kue,Senang memiliki bisnis pembuatan roti,0.0
Pernah membuka usaha dalam bidang event organizer,Pernah membuka usaha dalam bidang catering,0.0
Sering menjalankan bisnis di bidang konsultasi karir,Sering menjalankan bisnis di bidang kursus keterampilan,0.0
Jarang memiliki usaha di bidang teknologi wearable,Jarang memiliki usaha di bidang teknologi smart home,0.0
Suka menjalankan bisnis restoran bistro,Suka menjalankan bisnis kafe modern,0.0
Senang membuka usaha di bidang percetakan buku,Senang membuka usaha di bidang percetakan kemasan,0.0
Pernah menjalankan bisnis di bidang penitipan anak,Pernah menjalankan bisnis di bidang penitipan hewan peliharaan,0.0
Sering memiliki usaha di bidang industri film,Sering memiliki usaha di bidang produksi video iklan,0.0
Jarang memiliki bisnis di bidang seni lukis,Jarang memiliki bisnis di bidang seni patung,0.0
Suka membuka bisnis kuliner online,Suka membuka bisnis fashion online,0.0
Senang memiliki usaha di bidang penyewaan mobil,Senang memiliki usaha di bidang penyewaan motor,0.0
Pernah menjalankan bisnis penyewaan pakaian formal,Pernah menjalankan bisnis penyewaan pakaian kasual,0.0
Sering membuka usaha penyewaan gedung pertemuan,Sering membuka usaha penyewaan ruangan coworking,0.0
Jarang membuka usaha di bidang pembuatan pakaian dalam,Jarang membuka usaha di bidang pembuatan aksesoris tubuh,0.0
Suka menjalankan bisnis katering sehat,Suka menjalankan bisnis katering makanan cepat saji,0.0
Senang memiliki usaha di bidang pembuatan barang dari kayu,Senang memiliki usaha di bidang pembuatan barang dari logam,0.0
Pernah membuka bisnis toko mainan,Pernah membuka bisnis toko buku anak,0.0
Sering menjalankan bisnis di bidang pemrograman perangkat lunak,Sering menjalankan bisnis di bidang desain aplikasi mobile,0.0
Jarang memiliki bisnis di bidang pelatihan komputer,Jarang memiliki bisnis di bidang pelatihan bahasa asing,0.0
Suka membuka usaha di bidang produk perawatan kulit,Suka membuka usaha di bidang produk perawatan rambut,0.0
Senang menjalankan bisnis rental alat pesta,Senang menjalankan bisnis rental peralatan olah raga,0.0
Pernah menjalankan bisnis di bidang pendidikan anak,Pernah menjalankan bisnis di bidang pendidikan dewasa,0.0
Sering membuka usaha di bidang toko alat tulis,Sering membuka usaha di bidang toko bahan bangunan,0.0
Jarang memiliki usaha di bidang peternakan sapi,Jarang memiliki usaha di bidang peternakan ayam,0.0
Suka menjalankan bisnis makanan organik,Suka menjalankan bisnis makanan cepat saji,0.0
Senang memiliki usaha di bidang jual beli barang antik,Senang memiliki usaha di bidang jual beli barang koleksi,0.0
Pernah menjalankan bisnis pengiriman barang,Pernah menjalankan bisnis kurir pengantaran makanan,0.0
Sering memiliki bisnis di bidang pembuatan film dokumenter,Sering memiliki bisnis di bidang pembuatan film hiburan,0.0
Jarang menjalankan bisnis di bidang properti komersial,Jarang menjalankan bisnis di bidang properti residensial,0.0
Suka membuka usaha pakaian olahraga,Suka membuka usaha pakaian kasual,0.0
Senang memiliki usaha dalam bidang pemasaran digital,Senang memiliki usaha dalam bidang pemasaran tradisional,0.0
Pernah membuka usaha penyediaan bahan makanan,Pernah membuka usaha penyediaan alat elektronik,0.0
Sering menjalankan bisnis di bidang kursus komputer,Sering menjalankan bisnis di bidang kursus bahasa Inggris,0.0
Jarang memiliki bisnis di bidang olahraga air,Jarang memiliki bisnis di bidang olahraga darat,0.0
Suka menjalankan bisnis online shop tas wanita,Suka menjalankan bisnis online shop sepatu wanita,0.0
Senang memiliki usaha di bidang produk digital,Senang memiliki usaha di bidang produk fisik,0.0
Pernah menjalankan bisnis di bidang makanan tradisional,Pernah menjalankan bisnis di bidang makanan internasional,0.0
Sering membuka usaha penyewaan alat camping,Sering membuka usaha penyewaan alat olahraga,0.0
Jarang memiliki bisnis di bidang peternakan ikan,Jarang memiliki bisnis di bidang peternakan ayam,0.0
Suka menjalankan bisnis dekorasi rumah,Suka menjalankan bisnis desain interior,0.0
Senang memiliki usaha di bidang produksi mainan anak,Senang memiliki usaha di bidang produksi barang elektronik,0.0
Pernah membuka usaha toko peralatan olahraga,Pernah membuka usaha toko peralatan elektronik,0.0
Sering menjalankan bisnis di bidang pembuatan aplikas mobile,Sering menjalankan bisnis di bidang pembuatan website,0.0
Jarang membuka usaha di bidang kerajinan tangan,Jarang membuka usaha di bidang barang elektronik,0.0
Suka memiliki bisnis dalam bidang kesehatan dan kebugaran,Suka memiliki bisnis dalam bidang kuliner,0.0
Senang membuka usaha produksi sabun handmade,Senang membuka usaha produksi kosmetik alami,0.0
Pernah menjalankan bisnis toko buku bekas,Pernah menjalankan bisnis toko barang antik,0.0
Sering membuka usaha di bidang pembuatan kue pernikahan,Sering membuka usaha di bidang pembuatan kue ulang tahun,0.0
Jarang memiliki bisnis di bidang pengolahan air bersih,Jarang memiliki bisnis di bidang pengolahan bahan baku,0.0
Suka menjalankan usaha di bidang penjualan baju anak-anak,Suka menjalankan usaha di bidang penjualan baju dewasa,0.0
Senang memiliki usaha di bidang jasa pengiriman barang,Senang memiliki usaha di bidang jasa transportasi umum,0.0
Pernah menjalankan bisnis di bidang perangkat lunak,Pernah menjalankan bisnis di bidang perangkat keras,0.0
Sering membuka usaha di bidang perawatan tubuh,Sering membuka usaha di bidang perawatan wajah,0.0
Jarang memiliki bisnis di bidang game online,Jarang memiliki bisnis di bidang aplikasi mobile,0.0
Suka menjalankan bisnis di bidang makanan pedas,Suka menjalankan bisnis di bidang makanan manis,0.0
Senang memiliki usaha di bidang produksi alat-alat rumah tangga,Senang memiliki usaha di bidang produksi peralatan outdoor,0.0
Pernah membuka usaha penyewaan alat-alat pesta,Pernah membuka usaha penyewaan mobil mewah,0.0
Sering menggunakan kendaraan umum,Sering menggunakan sepeda motor,0.0
Jarang naik taksi,Jarang naik ojek online,0.0
Suka mengendarai mobil pribadi,Suka menggunakan kendaraan umum,0.0
Senang naik pesawat,Senang naik kereta api,0.0
Pernah naik bus antar kota,Pernah naik kapal laut,0.0
Sering naik kendaraan online,Sering naik bus kota,0.0
Jarang menggunakan sepeda listrik,Jarang menggunakan sepeda motor,0.0
Suka menggunakan motor pribadi,Suka naik taksi,0.0
Senang menggunakan angkutan umum,Senang menggunakan kendaraan pribadi,0.0
Pernah menggunakan kereta api jarak jauh,Pernah menggunakan pesawat terbang,0.0
Sering naik sepeda,Sering naik mobil pribadi,0.0
Jarang menggunakan kendaraan pribadi,Jarang menggunakan sepeda motor,0.0
Suka bepergian dengan pesawat,Suka bepergian dengan kereta api,0.0
Senang naik ojek online,Senang naik bus kota,0.0
Pernah naik bus pariwisata,Pernah naik kereta komuter,0.0
Sering mengendarai motor,Sering mengendarai mobil,0.0
Jarang naik kereta api,Jarang naik pesawat,0.0
Suka berkendara dengan mobil,Suka berkendara dengan sepeda motor,0.0
Senang bepergian dengan kendaraan umum,Senang bepergian dengan taksi,0.0
Pernah menggunakan transportasi darat,Pernah menggunakan transportasi laut,0.0
Sering menggunakan transportasi online,Sering menggunakan kendaraan umum,0.0
Jarang menggunakan sepeda,Jarang menggunakan taksi,0.0
Suka bepergian menggunakan pesawat,Suka bepergian menggunakan kereta api,0.0
Senang naik kendaraan pribadi,Senang naik ojek online,0.0
Pernah naik kereta api ekonomi,Pernah naik pesawat ekonomi,0.0
Sering menggunakan taksi online,Sering menggunakan mobil pribadi,0.0
Jarang bepergian dengan pesawat,Jarang bepergian dengan kapal laut,0.0
Suka naik kereta komuter,Suka naik bus kota,0.0
Senang menggunakan sepeda listrik,Senang menggunakan kendaraan umum,0.0
Pernah menggunakan kapal feri,Pernah menggunakan kapal pesiar,0.0
Sering menggunakan sepeda motor untuk bekerja,Sering menggunakan mobil pribadi untuk bekerja,0.0
Jarang menggunakan kendaraan umum di pagi hari,Jarang menggunakan kendaraan pribadi di pagi hari,0.0
Suka bepergian dengan kereta api,Suka bepergian dengan kendaraan pribadi,0.0
Senang naik pesawat internasional,Senang naik pesawat domestik,0.0
Pernah naik bus malam,Pernah naik kereta api malam,0.0
Sering bepergian dengan mobil pribadi,Sering bepergian dengan ojek online,0.0
Jarang menggunakan transportasi online di malam hari,Jarang menggunakan transportasi online di siang hari,0.0
Suka naik taksi online,Suka naik kendaraan umum,0.0
Senang mengendarai sepeda,Senang mengendarai sepeda motor,0.0
Pernah menggunakan kendaraan umum untuk liburan,Pernah menggunakan mobil pribadi untuk liburan,0.0
Sering naik bus antar kota,Sering naik pesawat terbang,0.0
Jarang menggunakan kereta api antarkota,Jarang menggunakan taksi antarkota,0.0
Suka naik sepeda motor untuk perjalanan jauh,Suka naik mobil untuk perjalanan jauh,0.0
Senang menggunakan transportasi online untuk kerja,Senang menggunakan kendaraan pribadi untuk kerja,0.0
Pernah naik kereta api ekspres,Pernah naik pesawat kelas ekonomi,0.0
Sering menggunakan kendaraan umum untuk bekerja,Sering menggunakan sepeda motor untuk bekerja,0.0
Jarang bepergian menggunakan pesawat,Jarang bepergian menggunakan kapal laut,0.0
Suka menggunakan transportasi online untuk belanja,Suka menggunakan kendaraan pribadi untuk belanja,0.0
Senang bepergian dengan bus wisata,Senang bepergian dengan mobil pribadi,0.0
Pernah naik ojek online untuk perjalanan jauh,Pernah naik ojek online untuk perjalanan dekat,0.0
Sering menggunakan kereta api untuk berlibur,Sering menggunakan pesawat terbang untuk berlibur,0.0
Jarang naik taksi online,Jarang naik bus kota,0.0
Suka bepergian dengan sepeda motor ke kantor,Suka bepergian dengan mobil ke kantor,0.0
Senang menggunakan taksi untuk pergi ke pusat perbelanjaan,Senang menggunakan sepeda motor untuk pergi ke pusat perbelanjaan,0.0
Pernah menggunakan pesawat untuk liburan ke luar negeri,Pernah menggunakan pesawat untuk liburan domestik,0.0
Sering naik kereta api untuk kerja,Sering naik mobil untuk kerja,0.0
Jarang menggunakan ojek online untuk perjalanan jauh,Jarang menggunakan kendaraan pribadi untuk perjalanan jauh,0.0
Suka naik kendaraan umum ke tempat wisata,Suka naik kendaraan pribadi ke tempat wisata,0.0
Senang bepergian dengan sepeda ke taman,Senang bepergian dengan mobil ke taman,0.0
Pernah menggunakan taksi online untuk perjalanan jauh,Pernah menggunakan taksi untuk perjalanan dekat,0.0
Sering naik kereta api untuk liburan,Sering naik bus untuk liburan,0.0
Jarang bepergian dengan sepeda motor ke luar kota,Jarang bepergian dengan mobil ke luar kota,0.0
Suka naik pesawat untuk perjalanan bisnis,Suka naik kereta api untuk perjalanan bisnis,0.0
Senang naik kendaraan umum untuk berlibur,Senang naik kendaraan pribadi untuk berlibur,0.0
Pernah naik kendaraan umum untuk ke luar negeri,Pernah naik kendaraan umum untuk ke dalam negeri,0.0
Sering menggunakan kendaraan pribadi untuk perjalanan jauh,Sering menggunakan kendaraan pribadi untuk perjalanan dekat,0.0
Jarang naik ojek online di pagi hari,Jarang naik ojek online di siang hari,0.0
Suka bepergian menggunakan pesawat kelas bisnis,Suka bepergian menggunakan pesawat kelas ekonomi,0.0
Senang naik kereta api dengan pemandangan alam,Senang naik pesawat dengan pemandangan alam,0.0
Pernah naik sepeda untuk perjalanan jauh,Pernah naik motor untuk perjalanan jauh,0.0
Sering menggunakan transportasi umum untuk ke tempat kerja,Sering menggunakan sepeda motor untuk ke tempat kerja,0.0
Jarang menggunakan mobil pribadi ke kantor,Jarang menggunakan sepeda motor ke kantor,0.0
Suka menggunakan kereta api untuk liburan,Suka menggunakan pesawat untuk liburan,0.0
Senang naik bus untuk perjalanan antar kota,Senang naik pesawat untuk perjalanan antar kota,0.0
Pernah naik kapal laut ke pulau,Pernah naik pesawat ke pulau,0.0
Sering menggunakan Gojek untuk pergi ke kantor,Sering menggunakan Grab untuk pergi ke kantor,0.0
Jarang menggunakan Gojek untuk pergi ke pasar,Jarang menggunakan Grab untuk pergi ke pasar,0.0
Suka menggunakan Gojek untuk antar barang,Suka menggunakan Grab untuk antar barang,0.0
Senang menggunakan Gojek untuk bepergian jarak jauh,Senang menggunakan Grab untuk bepergian jarak jauh,0.0
Pernah menggunakan Gojek untuk ke bandara,Pernah menggunakan Grab untuk ke bandara,0.0
Tidak pernah menggunakan Gojek untuk belanja,Tidak pernah menggunakan Grab untuk belanja,0.0
Sering menggunakan Gojek untuk makan siang,Sering menggunakan Grab untuk makan siang,0.0
Jarang menggunakan aplikasi ojek online untuk berangkat kerja,Jarang menggunakan aplikasi taksi online untuk berangkat kerja,0.0
Suka menggunakan Gojek karena lebih cepat,Suka menggunakan Grab karena lebih murah,0.0
Senang menggunakan Gojek untuk kirim paket,Senang menggunakan Grab untuk kirim paket,0.0
Pernah mencoba Gojek untuk perjalanan antar kota,Pernah mencoba Grab untuk perjalanan antar kota,0.0
Sering menggunakan aplikasi transportasi online untuk ke pusat perbelanjaan,Sering menggunakan aplikasi transportasi online untuk ke rumah teman,0.0
Jarang menggunakan aplikasi ojek online untuk ke kantor,Jarang menggunakan aplikasi taksi online untuk ke kantor,0.0
Suka menggunakan Gojek karena pelayanan yang cepat,Suka menggunakan Grab karena harga yang terjangkau,0.0
Senang menggunakan aplikasi transportasi online di pagi hari,Senang menggunakan aplikasi transportasi online di malam hari,0.0
Pernah menggunakan Gojek untuk perjalanan bisnis,Pernah menggunakan Grab untuk perjalanan bisnis,0.0
Tidak menggunakan Gojek untuk belanja kebutuhan rumah tangga,Tidak menggunakan Grab untuk belanja kebutuhan rumah tangga,0.0
Sering menggunakan Gojek untuk beli makanan,Sering menggunakan Grab untuk beli makanan,0.0
